Группа проверок,Название класса,Границы,Тестовые данные внутри класса (содержимое поля),Тестовые данные на границах (содержимое поля),Пояснение и оптимизации
Время начала поездки. Часы,Числа от 00 до 23,00;23,10,-1;00;01;23;22;24,
,допустимое кол-во=  2 символа,2,02,1;01;111,красный цвет- повтор проверки
,пустое поле,,,пустое поле,
,отрицательные числа,-∞;-1,-1,-2;-1;0,красный цвет- повтор проверки
,нецелые числа,"1,1;+∞","2,5 ; 2/5","1; 1,1 ; 1,2",
,недопустимое число больше 23,24;+∞,40,23;24;25,красный цвет- повтор проверки
,буквы,,"а,в",,
,спец. символы,,/-,,
,недопустимое кол-во более  2 символов,3;+∞,22222,01; 111; 1111,красный цвет- повтор проверки
,недопустимое кол-во менее  2 символов,-∞;1,2,"пустое поле, 1,01",красный цвет- повтор проверки
Время начала поездки. Минуты,числа от 01 до 59,01;59,10,00;01;58;59;60,
,допустимое кол-во=  2 символа,2,02,1;01;111,красный цвет- повтор проверки
,пустое поле,,,пустое поле,
,недопустимое число больше 59,60;+∞,70,59;60;61,красный цвет- повтор проверки
,отрицательные числа,-∞;-1,-5,-2;-1;0,
,нецелые числа,"1,1;+∞","2,5 ; 2/5","1; 1,1 ; 1,2",красный цвет- повтор проверки
,буквы,,"а,в",,
,спец. символы,,/-,,
,недопустимое кол-во более  2 символов,3;+∞,22222,01; 111; 1111,красный цвет- повтор проверки
,недопустимое кол-во менее  2 символов,-∞;1,1,"пустое поле, 1,01",красный цвет- повтор проверки
"Откуда, куда",допустимое кол-во не более 50 символов,1;50,"Республиканская, д.35 ( 21 символ)",0;1;2;49;50;51  (кол-во символов),
,Только русские буквы и цифры,,Республиканская35,,
,"Только русские буквы,цифры и пробел",,Республиканская 35,,
,"Только русские буквы,цифры и тире",,Республиканская-35,,
,"Только русские буквы, цифры и точка",,Республиканская.35,,
,"Только русские буквы, цифры и запятая",,"Республиканская,35",,
,"Только русские буквы,цифры, пробел, тире, точка, запятая",,"Гражданская д. 13-15, корпус 1",,
,пустое поле,,,пустое поле,
,количество символов больше 50,51;+∞,"Республиканская,35Республиканская,35Республиканская,35Республиканская,35 ( 72 символа)","50,51, 52 (кол-во символов)",красный цвет- повтор проверки
,Адрес с недопустимыми символами,,"Республиканская, д.35$",,
,только цифры,,35,,
,только спец. символы,,/-,,
,несуществующий адрес,,ДороховАзамат 88,,